Original Text,Entity,Label
faboff1900039768,faboff1900039768,PERSON
27a4gcc4236p1z9,27a4gcc4236p1z9,CARDINAL
order id od133596594395454000,id od133596594395454000,ORG
sudhir balkishna ran,sudhir balkishna,PERSON
sudhir balkrishna ran,sudhir balkrishna,PERSON
05dsk madhuban apartments,05dsk,CARDINAL
invalid date 11-102018,11-102018,DATE
mutual 400072 maharashtra,400072,CARDINAL
mutual 400072 maharashtra,maharashtra,GPE
mutual 408072 maharashtra,408072,CARDINAL
phone 9049567772,9049567772,CARDINAL
phone 9049567772,9049567772,CARDINAL
toxabk,toxabk,PERSON
samson,samson,ORG
3107.00,3107.00,CARDINAL
21790.62,21790.62,CARDINAL
3050.69,3050.69,CARDINAL
305069,305069,CARDINAL
27892.00,27892.00,CARDINAL
rating 2018 inverted ac,2018,DATE
rating 2018 inverted ac,ac,ORG
acnfyxttnkgthzaw,acnfyxttnkgthzaw,ORG
30999.00,30999.00,CARDINAL
21790.62,21790.62,CARDINAL
3050.69 3050.69,3050.69,CARDINAL
27892.00,27892.00,CARDINAL
27892.00,27892.00,CARDINAL
consultingrooms private limited,consultingrooms private limited,ORG
ten original packing andinvoice,ten,CARDINAL
